metaOne,ts,sensorThree,sensorFour,sensorFive,sensorSix,sensorSeven
15:55:21,16-01-2021,0,0,0,0,0
05:34:03,18-01-2021,0,0,0,0,0
14:11:13,20-01-2021,0,0,0,0,0
14:11:49,20-01-2021,0,0,0,0,0
09:41:37,21-01-2021,0,0,0,32.85,25.04
09:41:13,21-01-2021,0,0,0,30.78,25.13
09:41:25,21-01-2021,0,0,0,31.27,25.12
09:43:00,21-01-2021,0,0,0,0,0
09:42:01,21-01-2021,0,0,0,33.58,25.02
09:42:12,21-01-2021,0,0,0,0,0
09:42:24,21-01-2021,0,0,0,0,0
09:42:36,21-01-2021,0,0,0,0,0
09:42:48,21-01-2021,0,0,0,0,0
09:41:49,21-01-2021,0,0,0,32.6,25.03
13:53:47,19-01-2021,25,50,100,50,22
13:56:49,19-01-2021,25,50,100,50,22
14:02:49,19-01-2021,25,50,100,50,22
14:01:19,19-01-2021,25,50,100,50,22
13:49:00,19-01-2021,25,50,100,50,22
13:59:48,19-01-2021,25,50,100,50,22
13:50:42,19-01-2021,25,50,100,50,22
13:52:12,19-01-2021,25,50,100,50,22
13:55:18,19-01-2021,25,50,100,50,22
13:58:19,19-01-2021,25,50,100,50,22
13:47:31,19-01-2021,25,50,100,50,22
09:56:29,21-01-2021,25,50,100,50,22
09:57:56,21-01-2021,25,50,100,50,22
09:54:59,21-01-2021,25,50,100,50,22
10:00:53,21-01-2021,25,50,100,50,22
10:18:35,21-01-2021,25,50,100,50,22
10:33:16,21-01-2021,25,50,100,50,22
10:34:48,21-01-2021,25,50,100,50,22
10:20:02,21-01-2021,25,50,100,50,22
10:05:20,21-01-2021,25,50,100,50,22
10:06:47,21-01-2021,25,50,100,50,22
10:02:23,21-01-2021,25,50,100,50,22
10:09:44,21-01-2021,25,50,100,50,22
10:15:41,21-01-2021,25,50,100,50,22
10:12:41,21-01-2021,25,50,100,50,22
10:14:11,21-01-2021,25,50,100,50,22
09:59:26,21-01-2021,25,50,100,50,22
10:32:14,21-01-2021,25,50,100,50,22
10:22:58,21-01-2021,25,50,100,50,22
10:03:50,21-01-2021,25,50,100,50,22
10:17:08,21-01-2021,25,50,100,50,22
10:45:15,21-01-2021,25,50,100,50,22
10:08:17,21-01-2021,25,50,100,50,22
10:11:14,21-01-2021,25,50,100,50,22
10:21:32,21-01-2021,25,50,100,50,22
07:58:21,21-01-2021,25,50,100,50,22
08:04:56,21-01-2021,25,50,100,50,22
08:03:30,21-01-2021,25,50,100,50,22
07:55:24,21-01-2021,25,50,100,50,22
07:56:54,21-01-2021,25,50,100,50,22
08:09:09,21-01-2021,25,50,100,50,22
07:53:56,21-01-2021,25,50,100,50,22
07:59:47,21-01-2021,25,50,100,50,22
07:46:41,21-01-2021,25,50,100,50,22
08:07:38,21-01-2021,25,50,100,50,22
07:52:27,21-01-2021,25,50,100,50,22
12:41:27,21-01-2021,25,50,100,50,22
12:45:58,21-01-2021,25,50,100,50,22
12:42:53,21-01-2021,25,50,100,50,22
12:38:24,21-01-2021,25,50,100,50,22
12:35:18,21-01-2021,25,50,100,50,22
12:44:31,21-01-2021,25,50,100,50,22
12:36:48,21-01-2021,25,50,100,50,22
12:40:00,21-01-2021,25,50,100,50,22
12:33:46,21-01-2021,25,50,100,50,22
13:33:55,21-01-2021,25,50,100,50,22
12:47:29,21-01-2021,25,50,100,50,22
13:32:00,07-04-2021,0,0,1,36.76,27.75
13:32:22,07-04-2021,0,0,2,36.72,27.79
13:44:59,07-04-2021,0,0,1,35.42,28.79
13:35:43,07-04-2021,0,0,2,36.37,28.08
13:36:38,07-04-2021,0,0,1,36.39,28.16
13:51:39,07-04-2021,0,0,1,34.6,29.16
13:49:48,07-04-2021,0,0,1,34.83,29.07
13:45:32,07-04-2021,0,0,1,35.34,28.82
13:30:09,07-04-2021,0,0,1,36.95,27.61
13:51:28,07-04-2021,0,0,1,34.62,29.15
13:34:13,07-04-2021,0,0,2,36.54,27.94
14:06:29,07-04-2021,0,0,1,32.87,29.73
13:34:36,07-04-2021,0,0,1,36.5,27.98
13:54:03,07-04-2021,0,0,1,34.35,29.27
13:32:11,07-04-2021,0,0,2,36.74,27.77
13:44:48,07-04-2021,0,0,1,35.44,28.77
13:30:31,07-04-2021,0,0,1,36.93,27.64
14:06:18,07-04-2021,0,0,1,32.89,29.72
14:17:30,07-04-2021,0,0,1,31.83,30.01
13:53:52,07-04-2021,0,0,1,34.37,29.26
13:35:31,07-04-2021,0,0,1,36.39,28.05
13:45:10,07-04-2021,0,0,1,35.39,28.8
13:30:20,07-04-2021,0,0,2,36.94,27.63
13:28:40,07-04-2021,0,1,1,37.04,27.5
13:32:55,07-04-2021,0,1,1,36.67,27.83
13:42:34,07-04-2021,0,1,1,35.69,28.62
14:11:40,07-04-2021,0,1,1,32.32,29.87
13:27:11,07-04-2021,0,1,1,37.11,27.41
13:28:29,07-04-2021,0,1,1,37.04,27.49
14:18:26,07-04-2021,0,1,1,31.77,30.03
13:25:20,07-04-2021,0,1,1,37.13,27.32
13:39:02,07-04-2021,0,1,2,36.15,28.36
13:47:34,07-04-2021,0,1,1,35.09,28.94
13:59:04,07-04-2021,0,1,1,33.74,29.48
13:23:29,07-04-2021,0,1,1,36.99,27.27
13:23:40,07-04-2021,0,1,1,37,27.27
13:23:18,07-04-2021,0,1,1,36.97,27.27
13:20:52,07-04-2021,0,1,2,36.35,27.27
13:28:51,07-04-2021,0,1,1,37.03,27.52
14:19:54,07-04-2021,0,1,1,31.67,30.06
13:25:09,07-04-2021,0,1,1,37.13,27.31
14:10:45,07-04-2021,0,1,1,32.43,29.85
13:39:24,07-04-2021,0,1,1,36.11,28.39
13:42:45,07-04-2021,0,1,1,35.67,28.64
13:46:39,07-04-2021,0,1,1,35.2,28.89
13:34:02,07-04-2021,0,1,1,36.56,27.93
13:58:52,07-04-2021,0,1,1,33.75,29.47
14:15:39,07-04-2021,0,1,1,31.98,29.97
14:19:43,07-04-2021,0,1,1,31.68,30.05
13:33:06,07-04-2021,0,1,1,36.64,27.84
14:10:34,07-04-2021,0,1,1,32.44,29.84
13:39:13,07-04-2021,0,1,2,36.13,28.38
13:27:22,07-04-2021,0,1,1,37.1,27.42
14:04:49,07-04-2021,0,1,1,33.06,29.67
13:34:24,07-04-2021,0,1,2,36.52,27.96
13:44:25,07-04-2021,1,1,1,35.48,28.75
13:24:13,07-04-2021,1,1,1,37.06,27.28
02:31:36,08-04-2021,38,65,80,36.91,27.47
02:34:12,08-04-2021,38,66,83,36.65,27.5
02:35:41,08-04-2021,38,66,81,36.5,27.54
05:16:13,08-04-2021,38,67,80,25.86,29.57
02:36:37,08-04-2021,40,68,81,36.49,27.57
02:43:29,08-04-2021,40,68,83,36.17,27.65
05:23:15,08-04-2021,40,68,80,25.33,29.72
02:42:00,08-04-2021,40,72,86,35.81,27.64
02:41:49,08-04-2021,40,76,86,35.88,27.63
02:39:35,08-04-2021,40,70,87,35.98,27.61
02:41:05,08-04-2021,40,70,82,35.98,27.63
02:36:15,08-04-2021,40,67,80,36.45,27.55
02:37:11,08-04-2021,40,71,82,36.32,27.57
04:39:25,08-04-2021,42,72,84,29.26,29.06
02:42:55,08-04-2021,42,76,90,35.74,27.64
02:37:22,08-04-2021,42,69,82,36.16,27.57
02:36:26,08-04-2021,42,69,83,36.44,27.56
06:45:59,07-04-2021,42,69,81,29.38,30.43
02:37:45,08-04-2021,42,73,84,36.18,27.58
02:40:31,08-04-2021,42,73,83,36.02,27.62
02:42:22,08-04-2021,42,73,86,35.92,27.64
02:43:06,08-04-2021,42,73,85,35.73,27.64
05:26:00,08-04-2021,42,73,82,25.08,29.78
02:41:16,08-04-2021,42,70,81,36.01,27.63
06:55:08,07-04-2021,42,70,80,29.37,30.4
07:09:29,07-04-2021,42,70,80,28.82,30.52
05:25:49,08-04-2021,42,70,80,25.05,29.77
02:40:53,08-04-2021,42,74,87,35.95,27.62
02:39:02,08-04-2021,42,74,86,35.78,27.59
02:38:52,08-04-2021,42,74,83,35.78,27.59
02:37:00,08-04-2021,42,78,94,36.4,27.57
04:40:10,08-04-2021,42,67,80,29.01,29.07
02:42:11,08-04-2021,42,75,89,35.88,27.63
06:38:57,07-04-2021,44,68,80,29.86,30.31
07:12:15,07-04-2021,44,68,84,28.72,30.6
06:30:47,07-04-2021,44,72,80,30.84,30.2
02:51:54,08-04-2021,44,76,86,35.51,27.7
02:42:44,08-04-2021,44,76,87,35.71,27.64
04:32:30,08-04-2021,44,76,89,30.43,28.94
06:57:11,07-04-2021,44,69,80,29.47,30.37
06:54:58,07-04-2021,44,69,80,29.35,30.4
02:37:34,08-04-2021,44,73,86,36.12,27.58
02:52:06,08-04-2021,44,73,83,35.46,27.71
02:47:36,08-04-2021,44,77,91,35.83,27.68
04:23:27,08-04-2021,44,77,94,30.28,28.83
04:21:34,08-04-2021,44,77,91,30.31,28.8
02:47:47,08-04-2021,44,81,96,35.79,27.68
02:45:21,08-04-2021,44,81,96,35.67,27.67
06:56:15,07-04-2021,44,70,80,29.46,30.37
06:37:38,07-04-2021,44,70,81,29.9,30.28
06:55:53,07-04-2021,44,70,81,29.45,30.38
06:45:49,07-04-2021,44,70,81,29.39,30.42
04:38:07,08-04-2021,44,74,87,29.4,29.03
04:37:45,08-04-2021,44,74,87,29.58,29.03
04:37:22,08-04-2021,44,74,82,29.73,29.02
02:38:29,08-04-2021,44,78,86,35.92,27.59
04:36:26,08-04-2021,44,78,87,29.98,29
04:26:05,08-04-2021,44,78,91,30.33,28.87
04:18:23,08-04-2021,44,78,91,30.44,28.76
04:31:21,08-04-2021,44,78,95,30.52,28.92
07:07:03,07-04-2021,44,71,80,29.57,30.41
06:53:50,07-04-2021,44,71,80,29.32,30.43
07:07:26,07-04-2021,44,71,82,29.47,30.42
04:19:08,08-04-2021,44,75,86,30.37,28.77
02:47:03,08-04-2021,44,79,92,35.71,27.68
02:44:58,08-04-2021,44,79,86,35.65,27.67
04:17:26,08-04-2021,44,79,93,30.5,28.75
04:25:54,08-04-2021,44,79,94,30.33,28.87
04:32:41,08-04-2021,44,79,93,30.42,28.94
06:31:33,07-04-2021,46,72,81,31.05,30.2
06:22:58,07-04-2021,46,72,80,31.09,30.28
06:41:11,07-04-2021,46,72,82,29.75,30.36
07:06:52,07-04-2021,46,72,81,29.54,30.4
04:18:57,08-04-2021,46,76,92,30.38,28.77
04:28:21,08-04-2021,46,76,87,30.34,28.89
04:36:14,08-04-2021,46,80,87,30,29
04:19:42,08-04-2021,46,80,99,30.42,28.78
04:25:42,08-04-2021,46,80,93,30.31,28.86
04:35:52,08-04-2021,46,80,90,30.12,28.98
04:24:13,08-04-2021,46,80,94,30.36,28.84
04:34:33,08-04-2021,46,80,86,30.49,28.96
04:33:15,08-04-2021,46,88,98,30.52,28.95
06:12:33,07-04-2021,46,73,85,31.11,30.25
06:19:16,07-04-2021,46,73,82,30.97,30.33
06:32:06,07-04-2021,46,73,81,30.88,30.2
06:27:16,07-04-2021,46,73,84,31.12,30.22
06:17:47,07-04-2021,46,73,82,31.04,30.34
06:27:27,07-04-2021,46,73,82,31.15,30.21
02:50:46,08-04-2021,46,77,89,35.49,27.69
02:45:32,08-04-2021,46,77,93,35.66,27.67
06:10:53,07-04-2021,46,77,85,31.56,30.16
04:33:37,08-04-2021,46,77,89,30.53,28.95
04:21:57,08-04-2021,46,77,88,30.32,28.81
04:24:35,08-04-2021,46,77,85,30.43,28.85
04:28:55,08-04-2021,46,77,87,30.29,28.89
04:35:18,08-04-2021,46,77,89,30.28,28.97
02:55:04,08-04-2021,46,81,98,35.07,27.74
04:17:38,08-04-2021,46,81,91,30.54,28.75
04:30:48,08-04-2021,46,81,90,30.46,28.91
04:31:32,08-04-2021,46,81,93,30.53,28.93
04:23:50,08-04-2021,46,81,93,30.31,28.84
04:28:10,08-04-2021,46,81,94,30.39,28.88
06:52:53,07-04-2021,46,70,80,29.22,30.44
02:50:35,08-04-2021,46,78,89,35.55,27.69
02:50:23,08-04-2021,46,78,91,35.58,27.68
04:21:12,08-04-2021,46,78,89,30.31,28.79
04:33:59,08-04-2021,46,78,89,30.49,28.95
04:19:53,08-04-2021,46,78,95,30.42,28.78
04:25:20,08-04-2021,46,78,93,30.38,28.86
04:30:03,08-04-2021,46,78,93,30.43,28.9
04:31:55,08-04-2021,46,78,92,30.54,28.94
04:19:30,08-04-2021,46,78,93,30.41,28.77
04:24:58,08-04-2021,46,78,87,30.41,28.85
04:29:06,08-04-2021,46,78,92,30.32,28.89
04:34:22,08-04-2021,46,78,87,30.5,28.96
02:46:18,08-04-2021,46,82,100,35.66,27.68
04:24:24,08-04-2021,46,82,91,30.38,28.85
04:24:01,08-04-2021,46,82,95,30.34,28.85
04:30:37,08-04-2021,46,82,94,30.44,28.92
06:23:43,07-04-2021,46,71,81,31.06,30.28
06:25:48,07-04-2021,46,75,82,31.14,30.25
06:30:04,07-04-2021,46,75,83,31.19,30.2
06:18:20,07-04-2021,46,75,87,30.99,30.34
06:28:56,07-04-2021,46,75,82,31.16,30.21
04:33:48,08-04-2021,46,75,81,30.5,28.95
04:22:09,08-04-2021,46,75,91,30.33,28.8
02:46:40,08-04-2021,46,79,86,35.68,27.68
02:47:25,08-04-2021,46,79,95,35.74,27.68
04:16:30,08-04-2021,46,79,95,30.52,28.73
04:35:29,08-04-2021,46,79,84,30.22,28.98
04:29:29,08-04-2021,46,79,87,30.41,28.89
04:15:45,08-04-2021,46,79,88,30.62,28.72
04:27:37,08-04-2021,46,79,87,30.48,28.88
02:51:43,08-04-2021,46,83,93,35.49,27.7
02:55:38,08-04-2021,46,83,96,34.9,27.74
02:51:08,08-04-2021,46,83,95,35.37,27.69
04:20:16,08-04-2021,46,83,94,30.37,28.79
